DwellingType,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
Apartment,A1,0.00,0.00,0.00,0.00,0.00,0.00
Basement Dwelling,A1,0.00,0.00,0.00,0.00,0.00,0.00
Detached house,A1,9.16,0.22,0.16,0.22,1.26,1.67
End of terrace house,A1,17.78,0.17,0.13,0.18,1.29,1.27
Ground-floor apartment,A1,16.06,0.17,0.06,0.13,1.08,0.76
House,A1,45.78,0.17,0.15,0.15,1.30,2.07
Maisonette,A1,15.98,0.17,0.13,0.08,0.93,0.94
Mid-floor apartment,A1,39.31,0.22,0.02,0.01,1.24,0.32
Mid-terrace house,A1,40.86,0.17,0.13,0.14,1.21,1.38
Semi-detached house,A1,41.29,0.17,0.13,0.14,1.21,1.40
Top-floor apartment,A1,42.31,0.20,0.15,0.03,1.20,0.54
Apartment,A2,37.86,0.34,0.03,0.00,2.18,0.00
Basement Dwelling,A2,42.11,0.17,0.14,0.15,1.23,0.84
Detached house,A2,40.51,0.18,0.14,0.15,1.15,1.54
End of terrace house,A2,41.89,0.17,0.13,0.14,1.20,1.36
Ground-floor apartment,A2,43.19,0.19,0.06,0.13,1.20,0.75
House,A2,45.78,0.17,0.15,0.15,1.30,2.07
Maisonette,A2,38.91,0.18,0.13,0.09,1.20,1.24
Mid-floor apartment,A2,39.31,0.22,0.02,0.01,1.24,0.32
Mid-terrace house,A2,40.86,0.17,0.13,0.14,1.21,1.38
Semi-detached house,A2,41.29,0.17,0.13,0.14,1.21,1.40
Top-floor apartment,A2,42.31,0.20,0.15,0.03,1.20,0.54
Apartment,A3,68.50,0.24,0.07,0.03,1.71,0.71
Basement Dwelling,A3,58.67,0.18,0.00,0.13,1.25,0.00
Detached house,A3,60.87,0.22,0.16,0.20,1.33,1.83
End of terrace house,A3,58.09,0.19,0.13,0.18,1.27,1.57
Ground-floor apartment,A3,59.90,0.22,0.05,0.15,1.23,0.85
House,A3,67.21,0.19,0.14,0.17,1.46,2.14
Maisonette,A3,56.89,0.20,0.14,0.11,1.17,1.36
Mid-floor apartment,A3,57.86,0.26,0.04,0.04,1.29,0.51
Mid-terrace house,A3,56.88,0.20,0.14,0.19,1.29,1.55
Semi-detached house,A3,57.98,0.19,0.13,0.17,1.26,1.65
Top-floor apartment,A3,59.23,0.22,0.15,0.02,1.24,0.57
Apartment,B1,90.93,0.21,0.05,0.01,2.05,2.41
Basement Dwelling,B1,99.01,0.27,0.00,0.17,1.52,0.00
Detached house,B1,89.32,0.33,0.21,0.32,1.89,2.42
End of terrace house,B1,88.34,0.29,0.17,0.39,1.59,1.96
Ground-floor apartment,B1,87.77,0.31,0.05,0.29,1.51,1.15
House,B1,90.21,0.22,0.15,0.20,1.66,2.32
Maisonette,B1,91.00,0.29,0.15,0.28,1.75,2.30
Mid-floor apartment,B1,90.81,0.35,0.04,0.03,1.87,0.87
Mid-terrace house,B1,88.57,0.33,0.18,0.33,1.73,2.11
Semi-detached house,B1,88.49,0.33,0.18,0.34,1.70,2.11
Top-floor apartment,B1,89.04,0.31,0.17,0.08,1.67,1.23
Apartment,B2,113.65,0.29,0.09,0.05,1.82,2.36
Basement Dwelling,B2,117.53,0.30,0.07,0.28,1.98,1.91
Detached house,B2,114.65,0.37,0.23,0.37,2.14,2.62
End of terrace house,B2,114.87,0.32,0.19,0.37,1.89,2.34
Ground-floor apartment,B2,115.10,0.34,0.07,0.26,1.91,1.82
House,B2,115.95,0.27,0.17,0.27,1.93,2.46
Maisonette,B2,114.89,0.37,0.19,0.17,2.13,2.63
Mid-floor apartment,B2,113.70,0.48,0.04,0.02,2.19,1.45
Mid-terrace house,B2,115.49,0.35,0.20,0.32,2.02,2.45
Semi-detached house,B2,115.19,0.36,0.21,0.36,1.98,2.40
Top-floor apartment,B2,115.24,0.36,0.21,0.08,2.03,1.67
Apartment,B3,138.03,0.33,0.13,0.11,2.01,2.34
Basement Dwelling,B3,133.87,0.30,0.05,0.34,1.67,1.06
Detached house,B3,139.55,0.40,0.24,0.41,2.34,2.70
End of terrace house,B3,140.37,0.36,0.21,0.41,2.16,2.57
Ground-floor apartment,B3,139.49,0.40,0.09,0.31,2.18,2.06
House,B3,140.22,0.31,0.19,0.34,2.21,2.62
Maisonette,B3,138.65,0.44,0.23,0.22,2.35,2.61
Mid-floor apartment,B3,137.89,0.55,0.05,0.03,2.36,1.56
Mid-terrace house,B3,139.34,0.40,0.22,0.37,2.29,2.58
Semi-detached house,B3,140.35,0.39,0.23,0.40,2.26,2.60
Top-floor apartment,B3,139.03,0.43,0.23,0.09,2.24,1.93
Apartment,C1,162.36,0.39,0.13,0.16,2.21,2.41
Basement Dwelling,C1,163.11,0.46,0.34,0.33,2.22,2.17
Detached house,C1,163.84,0.43,0.26,0.44,2.51,2.74
End of terrace house,C1,164.09,0.40,0.22,0.48,2.40,2.61
Ground-floor apartment,C1,163.54,0.46,0.11,0.34,2.35,2.14
House,C1,164.51,0.35,0.21,0.42,2.49,2.69
Maisonette,C1,162.86,0.46,0.26,0.26,2.50,2.70
Mid-floor apartment,C1,162.76,0.60,0.06,0.05,2.52,1.55
Mid-terrace house,C1,163.27,0.46,0.25,0.40,2.54,2.65
Semi-detached house,C1,164.07,0.43,0.25,0.42,2.47,2.68
Top-floor apartment,C1,162.78,0.48,0.26,0.09,2.41,1.94
Apartment,C2,187.95,0.41,0.15,0.19,2.25,2.36
Basement Dwelling,C2,191.31,0.49,0.21,0.42,2.48,2.29
Detached house,C2,188.27,0.46,0.28,0.47,2.62,2.75
End of terrace house,C2,188.00,0.43,0.25,0.51,2.59,2.61
Ground-floor apartment,C2,188.08,0.51,0.11,0.37,2.49,2.19
House,C2,188.95,0.38,0.22,0.45,2.62,2.70
Maisonette,C2,187.28,0.50,0.27,0.30,2.63,2.65
Mid-floor apartment,C2,187.39,0.62,0.06,0.06,2.61,1.55
Mid-terrace house,C2,187.68,0.55,0.29,0.44,2.70,2.61
Semi-detached house,C2,188.19,0.48,0.27,0.45,2.60,2.70
Top-floor apartment,C2,187.78,0.52,0.28,0.10,2.52,1.91
Apartment,C3,214.48,0.43,0.12,0.19,2.53,2.29
Basement Dwelling,C3,215.04,0.75,0.26,0.42,2.82,1.76
Detached house,C3,213.55,0.50,0.29,0.50,2.71,2.73
End of terrace house,C3,212.93,0.50,0.28,0.55,2.73,2.63
Ground-floor apartment,C3,213.44,0.55,0.11,0.39,2.59,2.15
House,C3,214.20,0.43,0.24,0.50,2.72,2.67
Maisonette,C3,212.71,0.54,0.28,0.36,2.71,2.66
Mid-floor apartment,C3,212.56,0.66,0.06,0.08,2.70,1.61
Mid-terrace house,C3,212.88,0.68,0.35,0.48,2.81,2.58
Semi-detached house,C3,213.32,0.56,0.30,0.48,2.72,2.69
Top-floor apartment,C3,212.97,0.56,0.31,0.11,2.60,1.85
Apartment,D1,244.02,0.46,0.14,0.20,2.63,2.21
Basement Dwelling,D1,243.78,0.59,0.19,0.47,2.99,1.88
