PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
65,Leitrim,Top-floor apartment,1999,Existing,C2,179.33,76.34,0.55,0.26,0,2.87,3,32.45,35.98,0,9.87,1.79,2,38.73,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,35,38.17,2.44,38.17,2.47,0,0,0,0,0,Sale,12/01/2016
225,Leitrim,Detached house,2002,Existing,C3,208.24,176.27,0.55,0.4,0.44,2.71,2.95,188.17,101.36,101.36,29.71,6.17,2,53.56,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,101.36,2.45,74.91,2.78,0,0,0,0,0,Sale,14/01/2016
426,Leitrim,Mid-terrace house,2004,Existing,E2,343.47,50.03,0.3,0.13,0.36,2.7,3.01,31.07,50.03,50.03,7.12,3.82,1,87.92,Electricity ,House Coal,100,NO,45,45,0,NO ,Factory Insulated             ,25,50.03,2.54,0,0,0,0,0,0,0,Social housing letting,18/11/2015
602,Leitrim,End of terrace house,1939,Existing,G,1283.22,63.41,2.2,2.3,0.94,3.94,3,79.06,35.2,34.75,8.12,3.46,2,413.02,Solid Multi-Fuel,Electricity ,30,NO,100,100,0,NO ,None                          ,0,34.74,2.37,28.67,2.65,0,0,0,0,0,Sale,19/01/2016
856,Leitrim,Detached house,2000,Existing,C2,194.02,159.3,0.55,0.26,0.44,2.6,2.5,168.21,79.65,79.65,26.58,3.78,2,49.59,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,Factory Insulated             ,35,79.65,2.35,79.65,2.55,0,0,0,0,0,Sale,21/01/2016
1277,Leitrim,Semi-detached house,2002,Existing,C3,213.93,90.66,0.55,0.13,0.44,2.7,2.37,88.72,45.33,45.33,13.05,3.8,2,53.05,Heating Oil ,Heating Oil ,85.7,NO,45,85.7,0,NO ,Loose Jacket                  ,40,45.33,2.42,45.33,2.73,0,0,0,0,0,Grant Support,26/01/2016
1537,Leitrim,End of terrace house,2005,Existing,D1,236.92,88.38,0.37,0.13,0.34,2.02,3,77.47,44.19,44.19,16.08,1.85,2,54.08,Electricity ,Electricity ,100,NO,30,100,0,NO ,Factory Insulated             ,35,44.19,2.45,44.19,2.71,0,0,0,0,0,Sale,28/01/2016
1643,Leitrim,End of terrace house,1900,Existing,F,409.76,87.06,1.87,0.4,0.73,4.72,3,91.4,43.53,43.53,7.57,3.61,2,103.77,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,None                          ,0,43.53,2.4,43.53,2.76,0,0,0,0,0,Sale,29/01/2016
1740,Leitrim,Mid-terrace house,2002,Existing,D1,246.81,74.82,0.55,0.26,0.29,2.7,3,32.38,37.41,37.41,14.13,1.85,2,53.31,Electricity ,Electricity ,100,NO,100,100,0,NO ,Factory Insulated             ,35,37.41,2.59,37.41,3.44,0,0,0,0,0,Sale,29/01/2016
1834,Leitrim,Detached house,2002,Existing,C3,201.71,185.82,0.55,0.36,0.41,3.1,3,172.87,97.84,92.91,19.16,4.42,2,51.42,Heating Oil ,Heating Oil ,85,NO,30,85,0,NO ,Factory Insulated             ,25,92.91,2.55,92.91,2.67,0,0,0,0,0,Sale,28/01/2016
1918,Leitrim,Detached house,2004,Existing,C1,162.61,167.28,0.55,0.13,0.44,2.01,2.95,201.25,82.94,83.64,18.23,3.99,2,42.18,Heating Oil ,Heating Oil ,85.7,NO,30,85.7,0,NO ,Factory Insulated             ,25,83.64,2.57,83.64,2.9,0,0,0,0,0,Sale,01/02/2016
1986,Leitrim,Semi-detached house,2002,Existing,B3,138.47,91.04,0.3,0.14,0.44,3.1,3,126.35,46.3,46.3,15.38,2.71,2,34.57,Heating Oil ,Heating Oil ,94.5,NO,60,94.5,0,YES,Factory Insulated             ,30,46.3,2.44,44.74,2.81,0,0,0,0,0,Grant Support,26/01/2016
2122,Leitrim,Detached house,2001,Existing,C2,190.43,256.58,0.55,0.36,0.41,2.7,3,129.47,132.15,194.95,57.35,4.95,2,49.44,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,40,194.94,2.69,0,0,0,0,0,0,61.64,Private Letting,03/02/2016
2380,Leitrim,Detached house,2005,Provisional,C1,168.96,198.72,0.37,0.2,0.34,2.2,2.54,180.37,99.36,99.36,28.12,6.23,2,43.08,Heating Oil ,Heating Oil ,79,NO,30,79,0,NO ,Factory Insulated             ,25,99.36,2.6,99.36,2.71,0,0,0,0,0,Sale,06/02/2016
3023,Leitrim,Detached house,1999,Existing,C2,181.77,211.41,0.46,0.2,0.36,3.07,3.08,174.22,157.11,150.96,23.67,4.76,2,46.8,Heating Oil ,Heating Oil ,75,NO,30,75,0,YES,Factory Insulated             ,35,150.96,2.59,60.45,1.84,0,0,0,0,0,Other,10/02/2016
3384,Leitrim,Detached house,2003,Existing,C2,196.89,165.14,0.51,0.32,0.41,2.78,3,145.44,113.33,105.11,21.79,3.7,2,43.68,Heating Oil ,Heating Oil ,85.5,NO,60,85.5,0,NO ,Loose Jacket                  ,50,105.11,2.58,60.03,2.07,0,0,0,0,0,Private Letting,28/01/2016
3882,Leitrim,Detached house,2004,Existing,C3,223.98,108.9,0.55,0.36,0.44,2.2,3,142.55,54.45,54.45,17.34,4.14,2,56.88,Heating Oil ,Heating Oil ,85.5,NO,30,85.5,0,NO ,Factory Insulated             ,20,54.45,2.65,54.45,2.87,0,0,0,0,0,Sale,19/02/2016
3903,Leitrim,Detached house,1998,Existing,C3,223.87,148.56,0.55,0.14,0.41,2.8,2.9,112.65,148.56,148.56,26.56,1.85,1,57.45,Heating Oil ,Heating Oil ,92.2,NO,30,92.2,0,NO ,Loose Jacket                  ,40,148.56,2.56,0,0,0,0,0,0,0,Grant Support,22/02/2016
4256,Leitrim,Detached house,2005,Existing,C3,204.09,139.39,0.37,0.26,0.37,2.2,3,140.22,74.63,71.4,20.83,4.1,2,43.16,Bulk LPG (propane or butane),Bulk LPG (propane or butane),73,NO,20,73,0,NO ,Factory Insulated             ,35,67.99,2.43,71.4,2.58,0,0,0,0,0,Sale,23/02/2016
4268,Leitrim,Detached house,1940,Existing,B2,113.92,270.19,0.45,0.25,0.34,2.06,0,198.59,164.64,150.67,40.7,0,2,27.3,Heating Oil ,Heating Oil ,94.4,NO,0,94.4,0,NO ,Factory Insulated             ,40,150.64,2.37,119.55,2.23,0,0,0,0,0,Sale,23/02/2016
4628,Leitrim,Detached house,2007,Existing,B2,117.58,159.76,0.37,0.13,0.34,3.1,3,127.75,159.76,159.76,30.19,4.99,1,29.43,Electricity ,Electricity ,428.7,NO,30,428.7,0.34,NO ,Factory Insulated             ,100,159.76,2.76,0,0,0,0,0,0,0,Sale,24/10/2015
5163,Leitrim,Detached house,2003,Existing,C3,200.97,189.21,0.55,0.36,0.41,2.8,3,137,115.83,100.26,46.04,1.85,2,50.45,Heating Oil ,Heating Oil ,85.7,NO,65,85.7,0,NO ,Factory Insulated             ,20,100.26,2.58,88.95,2.27,0,0,0,0,0,Sale,26/02/2016
5166,Leitrim,Detached house,1900,Existing,F,417.04,177.42,1.71,0.51,0.75,2.89,1.71,215.65,97.14,97.14,17.77,4.15,2,93.65,Bulk LPG (propane or butane),Bulk LPG (propane or butane),65,NO,45,65,0,NO ,Loose Jacket                  ,20,97.15,2.82,80.27,3.09,0,0,0,0,0,Sale,03/03/2016
5370,Leitrim,Semi-detached house,2004,Existing,C2,189.6,120.59,0.55,0.4,0.41,2.2,3,101.57,63.09,63.09,13.26,3.7,2,47.64,Heating Oil ,Heating Oil ,83,NO,30,83,0,NO ,Factory Insulated             ,25,63.09,2.4,57.5,2.69,0,0,0,0,0,Sale,07/03/2016
