CountyName,DwellingTypeDescr,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
Clare,Apartment,E1,324.7,0.61,0.23,0.28,2.4,2.79
Clare,Basement Dwelling,E1,0,0,0,0,0,0
Clare,Detached house,E1,320.45,0.82,0.38,0.63,3.04,2.74
Clare,End of terrace house,E1,320.23,0.68,0.34,0.63,2.93,2.87
Clare,Ground-floor apartment,E1,321.12,0.68,0.19,0.47,2.81,2.16
Clare,House,E1,321.43,0.58,0.28,0.6,3.16,2.65
Clare,Maisonette,E1,322.48,0.67,0.39,0.68,3.08,2.25
Clare,Mid-floor apartment,E1,321.17,0.98,0.13,0.37,2.97,1.73
Clare,Mid-terrace house,E1,320.8,0.93,0.49,0.55,3.2,2.77
Clare,Semi-detached house,E1,319.71,0.67,0.37,0.54,2.95,2.8
Clare,Top-floor apartment,E1,321.99,0.66,0.36,0.24,2.8,1.84
Clare,Apartment,E2,358.65,0.78,0.56,0.22,2.24,2.43
Clare,Basement Dwelling,E2,0,0,0,0,0,0
Clare,Detached house,E2,360.6,1.07,0.56,0.69,3.14,2.7
Clare,End of terrace house,E2,361.01,0.91,0.44,0.68,3.12,2.71
Clare,Ground-floor apartment,E2,358.95,0.68,0.12,0.49,2.82,2.46
Clare,House,E2,360.78,0.77,0.43,0.64,3.22,2.64
Clare,Maisonette,E2,360.59,0.73,0.52,0.76,2.64,2.4
Clare,Mid-floor apartment,E2,362.95,1.08,0.05,0.35,3.83,1.16
Clare,Mid-terrace house,E2,359.82,1.11,0.63,0.6,3.09,2.82
Clare,Semi-detached house,E2,360.01,0.91,0.43,0.62,3.02,2.75
Clare,Top-floor apartment,E2,358.03,0.87,0.4,0.2,3.26,1.48
Clare,Apartment,F,408.19,0.93,0.88,0.4,2.93,3
Clare,Basement Dwelling,F,0,0,0,0,0,0
Clare,Detached house,F,415.04,1.31,0.72,0.72,3.22,2.66
Clare,End of terrace house,F,410.34,1.03,0.56,0.73,3.17,2.89
Clare,Ground-floor apartment,F,406.8,0.85,0.34,0.56,2.93,2.47
Clare,House,F,414.32,1.2,0.59,0.7,3.2,2.45
Clare,Maisonette,F,419.13,0.79,0.46,0.64,2.99,2.56
Clare,Mid-floor apartment,F,413.07,1.16,0.11,0.44,3.53,1.45
Clare,Mid-terrace house,F,408.9,1.33,0.87,0.63,3.31,2.9
Clare,Semi-detached house,F,415.8,1.07,0.65,0.68,3.04,2.73
Clare,Top-floor apartment,F,414.21,0.92,0.64,0.48,3.1,1.72
Clare,Apartment,G,558.02,0.7,1.35,0.5,3.05,3.06
Clare,Basement Dwelling,G,538.18,0.87,1,0.62,2.2,2.71
Clare,Detached house,G,696.08,1.76,1.4,0.83,3.72,2.8
Clare,End of terrace house,G,599.19,1.65,1.38,0.8,3.47,2.89
Clare,Ground-floor apartment,G,594.93,1.27,0.42,0.74,3.6,2.21
Clare,House,G,714.76,1.74,1.19,0.8,3.67,2.69
Clare,Maisonette,G,604.47,1.61,1.51,0.79,3.71,2.87
Clare,Mid-floor apartment,G,559.7,1.39,0.31,0.48,3.81,1.5
Clare,Mid-terrace house,G,610.02,1.84,1.63,0.68,3.72,2.89
Clare,Semi-detached house,G,669.82,1.74,1.22,0.77,3.66,2.87
Clare,Top-floor apartment,G,618.67,1.33,1.48,0.56,3.4,1.77
