CountyName,DwellingTypeDescr,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
Cork,Apartment,E1,317.12,0.68,0.06,0.24,3.9,1.96
Cork,Basement Dwelling,E1,324.63,1.3,0,0.49,2.18,2.92
Cork,Detached house,E1,320.85,0.97,0.57,0.67,3.09,2.63
Cork,End of terrace house,E1,319.48,0.99,0.57,0.65,2.9,2.65
Cork,Ground-floor apartment,E1,320.38,0.66,0.13,0.46,2.77,2.09
Cork,House,E1,321.57,0.95,0.55,0.68,3.15,2.76
Cork,Maisonette,E1,320.21,0.77,0.44,0.63,3.05,2.88
Cork,Mid-floor apartment,E1,319.19,0.89,0.07,0.42,3.02,1.67
Cork,Mid-terrace house,E1,321.14,1.28,0.89,0.58,3.12,2.76
Cork,Semi-detached house,E1,320.77,1.1,0.6,0.64,3.03,2.6
Cork,Top-floor apartment,E1,319.89,0.76,0.39,0.26,2.84,1.88
Cork,Apartment,E2,366.34,0.66,0.24,0.43,2.87,2.47
Cork,Basement Dwelling,E2,370.05,0.6,0.25,0.59,3.25,1.52
Cork,Detached house,E2,359.73,1.21,0.65,0.71,3.16,2.62
Cork,End of terrace house,E2,359.89,1.19,0.67,0.7,3.04,2.68
Cork,Ground-floor apartment,E2,360.02,0.82,0.2,0.54,2.91,2.15
Cork,House,E2,361.85,1.19,0.69,0.69,3.13,2.82
Cork,Maisonette,E2,360.32,1.05,0.66,0.66,3.42,2.53
Cork,Mid-floor apartment,E2,360.31,1.17,0.24,0.39,3.11,1.68
Cork,Mid-terrace house,E2,360.84,1.44,1.03,0.62,3.23,2.85
Cork,Semi-detached house,E2,361.27,1.32,0.73,0.65,3.08,2.67
Cork,Top-floor apartment,E2,360.11,0.87,0.52,0.3,2.96,2.04
Cork,Apartment,F,410.05,0.57,0.6,0.33,3.59,1.75
Cork,Basement Dwelling,F,0,0,0,0,0,0
Cork,Detached house,F,415.41,1.45,0.94,0.75,3.3,2.62
Cork,End of terrace house,F,414.58,1.49,0.99,0.74,3.23,2.72
Cork,Ground-floor apartment,F,414.9,1.03,0.23,0.59,3.06,2.09
Cork,House,F,414.53,1.53,1.04,0.73,3.57,2.69
Cork,Maisonette,F,413.07,1.35,0.98,0.78,3.22,2.27
Cork,Mid-floor apartment,F,413.61,1.29,0.14,0.45,3.17,1.6
Cork,Mid-terrace house,F,413.7,1.69,1.33,0.66,3.42,2.81
Cork,Semi-detached house,F,414.46,1.55,0.94,0.7,3.26,2.65
Cork,Top-floor apartment,F,415.49,1.13,0.86,0.31,3.21,1.96
Cork,Apartment,G,644.2,1.55,0.78,0.58,3.84,2.23
Cork,Basement Dwelling,G,622.9,1.47,0.93,1,3.05,1.91
Cork,Detached house,G,674.75,1.83,1.6,0.86,3.73,2.7
Cork,End of terrace house,G,638.43,1.83,1.61,0.83,3.68,2.85
Cork,Ground-floor apartment,G,618.95,1.47,0.73,0.75,3.45,1.98
Cork,House,G,751.81,1.74,1.54,0.82,3.84,2.63
Cork,Maisonette,G,612.57,1.55,1.4,0.84,3.53,2.53
Cork,Mid-floor apartment,G,602.07,1.52,0.53,0.63,3.41,1.83
Cork,Mid-terrace house,G,641.77,1.88,1.83,0.7,3.86,2.9
Cork,Semi-detached house,G,628.25,1.77,1.5,0.77,3.65,2.75
Cork,Top-floor apartment,G,635.34,1.55,1.6,0.46,3.4,1.74
