CountyName,DwellingTypeDescr,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
Leitrim,Apartment,E1,307.01,0.49,0.26,0.31,2.8,3
Leitrim,Basement Dwelling,E1,0,0,0,0,0,0
Leitrim,Detached house,E1,319.74,0.87,0.49,0.62,2.99,2.89
Leitrim,End of terrace house,E1,322.61,0.88,0.34,0.62,2.93,2.87
Leitrim,Ground-floor apartment,E1,317.26,0.66,0.1,0.43,2.93,2.41
Leitrim,House,E1,320.54,0.67,0.32,0.59,3.15,3.04
Leitrim,Maisonette,E1,318.11,0.41,0.3,0.17,2.67,2.75
Leitrim,Mid-floor apartment,E1,318.97,0.79,0.09,0.31,2.63,1.43
Leitrim,Mid-terrace house,E1,324.57,1.1,0.88,0.5,2.8,2.74
Leitrim,Semi-detached house,E1,319.92,0.5,0.25,0.47,2.58,2.92
Leitrim,Top-floor apartment,E1,315.45,0.54,0.35,0.55,2.57,2.48
Leitrim,Apartment,E2,357.56,0.54,0.26,0.47,2.53,3
Leitrim,Basement Dwelling,E2,0,0,0,0,0,0
Leitrim,Detached house,E2,360.59,1.04,0.6,0.67,3.02,2.93
Leitrim,End of terrace house,E2,363.03,0.7,0.82,0.53,2.53,2.86
Leitrim,Ground-floor apartment,E2,362.51,0.79,0.03,0.54,3.1,2.81
Leitrim,House,E2,362.29,0.96,0.66,0.67,3.49,3
Leitrim,Maisonette,E2,360.71,0.69,0.84,0.58,2.84,1.84
Leitrim,Mid-floor apartment,E2,363.18,0.94,0.29,0.63,2.31,1.67
Leitrim,Mid-terrace house,E2,358.71,0.95,1.1,0.49,2.59,2.91
Leitrim,Semi-detached house,E2,357.97,0.69,0.31,0.57,2.91,2.86
Leitrim,Top-floor apartment,E2,359.55,0.53,0.3,0.61,2.44,2.34
Leitrim,Apartment,F,441.7,1.1,0.4,0.38,2.8,3
Leitrim,Basement Dwelling,F,421.53,1.41,0,0.73,3.1,3.05
Leitrim,Detached house,F,414.28,1.19,0.73,0.72,3.11,2.89
Leitrim,End of terrace house,F,404.76,0.99,0.9,0.63,2.89,2.84
Leitrim,Ground-floor apartment,F,414.87,1,0.18,0.56,3.04,1.68
Leitrim,House,F,423.47,1.28,0.72,0.76,3.8,3.1
Leitrim,Maisonette,F,425.64,1.57,1.08,0.93,2.94,3
Leitrim,Mid-floor apartment,F,423.23,1.16,0.66,0.8,2.65,1.5
Leitrim,Mid-terrace house,F,423.11,1.18,0.83,0.62,3.02,2.99
Leitrim,Semi-detached house,F,418.47,0.58,0.3,0.56,2.64,2.96
Leitrim,Top-floor apartment,F,412.42,0.63,0.54,0.41,2.68,2.37
Leitrim,Apartment,G,668.37,1.31,0.3,0.97,2.8,3
Leitrim,Basement Dwelling,G,0,0,0,0,0,0
Leitrim,Detached house,G,674.23,1.67,1.48,0.84,3.56,2.94
Leitrim,End of terrace house,G,586.75,1.5,1.48,0.83,3.11,2.96
Leitrim,Ground-floor apartment,G,619.39,1.51,1.21,0.85,3.6,2.87
Leitrim,House,G,697.57,1.68,1.13,0.86,3.83,2.69
Leitrim,Maisonette,G,628.86,1.29,1.62,0.89,3.45,2.5
Leitrim,Mid-floor apartment,G,498.81,1.26,1.53,1.07,2.62,2.01
Leitrim,Mid-terrace house,G,601.19,1.82,1.81,0.75,3.95,3.06
Leitrim,Semi-detached house,G,542.57,1.03,0.67,0.68,2.99,2.95
Leitrim,Top-floor apartment,G,688.53,1.56,1.84,0.41,3.21,2.04
