CountyName,DwellingTypeDescr,EnergyRating,BerRatingMean,UValueWallMean,UValueRoofMean,UValueFloorMean,UValueWindowMean,UValueDoorMean
Waterford,Apartment,E1,316.18,0.58,0.16,0.48,2.87,2.8
Waterford,Basement Dwelling,E1,0,0,0,0,0,0
Waterford,Detached house,E1,321.84,0.93,0.48,0.68,3.07,2.78
Waterford,End of terrace house,E1,322.28,0.82,0.47,0.63,2.78,2.72
Waterford,Ground-floor apartment,E1,321.29,0.59,0.05,0.44,2.84,2.36
Waterford,House,E1,321.69,1.07,0.35,0.65,3.37,2.87
Waterford,Maisonette,E1,319.65,0.58,0.29,1,3.26,3.43
Waterford,Mid-floor apartment,E1,318.72,1.03,0.08,0.37,3.08,1.98
Waterford,Mid-terrace house,E1,318.65,1.01,0.66,0.57,2.97,2.6
Waterford,Semi-detached house,E1,319.86,0.64,0.34,0.56,2.84,2.77
Waterford,Top-floor apartment,E1,319.71,0.69,0.33,0.22,2.95,1.81
Waterford,Apartment,E2,345.82,0.5,0,0.29,3.1,3
Waterford,Basement Dwelling,E2,0,0,0,0,0,0
Waterford,Detached house,E2,359.96,1.1,0.63,0.73,3.16,2.6
Waterford,End of terrace house,E2,359.27,1.15,0.71,0.72,2.88,2.72
Waterford,Ground-floor apartment,E2,361.67,0.84,0.09,0.47,2.96,2.21
Waterford,House,E2,360.36,1.02,0.75,0.68,3.09,3
Waterford,Maisonette,E2,360.84,0.92,0.52,0.78,3.21,3
Waterford,Mid-floor apartment,E2,360.95,0.98,0.08,0.56,3.24,1.13
Waterford,Mid-terrace house,E2,359.59,1.24,0.82,0.62,3.09,2.78
Waterford,Semi-detached house,E2,360.34,0.88,0.49,0.62,2.91,2.73
Waterford,Top-floor apartment,E2,358.08,0.72,0.42,0.39,2.74,2.04
Waterford,Apartment,F,0,0,0,0,0,0
Waterford,Basement Dwelling,F,0,0,0,0,0,0
Waterford,Detached house,F,413.16,1.26,0.79,0.74,3.29,2.7
Waterford,End of terrace house,F,417.7,0.95,0.74,0.6,3.14,2.27
Waterford,Ground-floor apartment,F,412.59,0.86,0.2,0.55,2.81,1.53
Waterford,House,F,418.26,1.56,1.1,0.69,3.6,3.07
Waterford,Maisonette,F,416.41,1.83,1.28,0.84,3.82,2.62
Waterford,Mid-floor apartment,F,411,1.31,0.59,0.41,3.52,2.06
Waterford,Mid-terrace house,F,412.74,1.46,1.14,0.63,3.22,2.65
Waterford,Semi-detached house,F,409.12,0.98,0.63,0.61,3.12,2.69
Waterford,Top-floor apartment,F,403.36,1.08,0.69,0.44,2.94,2.06
Waterford,Apartment,G,794.8,1.6,1.15,0.38,3.5,2.88
Waterford,Basement Dwelling,G,0,0,0,0,0,0
Waterford,Detached house,G,693.63,1.78,1.57,0.83,3.68,2.69
Waterford,End of terrace house,G,602.08,1.59,1.29,0.74,3.6,2.79
Waterford,Ground-floor apartment,G,642.87,1.52,0.73,0.71,3.8,2.44
Waterford,House,G,665.88,1.85,1.63,0.84,3.98,2.94
Waterford,Maisonette,G,576.92,1.77,2.03,0.84,3.62,2.29
Waterford,Mid-floor apartment,G,614.92,1.55,0.61,0.67,3.21,2.07
Waterford,Mid-terrace house,G,620.46,1.88,1.86,0.68,3.89,2.95
Waterford,Semi-detached house,G,644.83,1.56,1.17,0.76,3.53,2.8
Waterford,Top-floor apartment,G,639.9,1.53,1.47,0.51,3.52,2.22
